..1,order.id,order.line,order.date,customer.id,product.id,quantity,model,description,price,bikeshop.name,location
1,1,1,2011-01-07T00:00:00Z,2,48,1,Jekyll Carbon 2,Mountain - Over Mountain - Carbon,6070,Ithaca Mountain Climbers,"Ithaca, NY"
2,1,2,2011-01-07T00:00:00Z,2,52,1,Trigger Carbon 2,Mountain - Over Mountain - Carbon,5970,Ithaca Mountain Climbers,"Ithaca, NY"
3,2,1,2011-01-10T00:00:00Z,10,76,1,Beast of the East 1,Mountain - Trail - Aluminum,2770,Kansas City 29ers,"Kansas City, KS"
4,2,2,2011-01-10T00:00:00Z,10,52,1,Trigger Carbon 2,Mountain - Over Mountain - Carbon,5970,Kansas City 29ers,"Kansas City, KS"
5,3,1,2011-01-10T00:00:00Z,6,2,1,Supersix Evo Hi-Mod Team,Road - Elite Road - Carbon,10660,Louisville Race Equipment,"Louisville, KY"
6,3,2,2011-01-10T00:00:00Z,6,50,1,Jekyll Carbon 4,Mountain - Over Mountain - Carbon,3200,Louisville Race Equipment,"Louisville, KY"
7,3,3,2011-01-10T00:00:00Z,6,1,1,Supersix Evo Black Inc.,Road - Elite Road - Carbon,12790,Louisville Race Equipment,"Louisville, KY"
8,3,4,2011-01-10T00:00:00Z,6,4,1,Supersix Evo Hi-Mod Dura Ace 2,Road - Elite Road - Carbon,5330,Louisville Race Equipment,"Louisville, KY"
9,3,5,2011-01-10T00:00:00Z,6,34,1,Synapse Disc 105,Road - Endurance Road - Aluminum,1570,Louisville Race Equipment,"Louisville, KY"
10,4,1,2011-01-11T00:00:00Z,22,26,1,Synapse Carbon Disc Ultegra D12,Road - Endurance Road - Carbon,4800,Ann Arbor Speed,"Ann Arbor, MI"
11,5,1,2011-01-11T00:00:00Z,8,96,1,Catalyst 3,Mountain - Sport - Aluminum,480,Denver Bike Shop,"Denver, CO"
12,5,2,2011-01-11T00:00:00Z,8,66,2,F-Si Black Inc.,Mountain - Cross Country Race - Carbon,11190,Denver Bike Shop,"Denver, CO"
13,5,3,2011-01-11T00:00:00Z,8,35,1,Synapse Disc Tiagra,Road - Endurance Road - Aluminum,1250,Denver Bike Shop,"Denver, CO"
14,5,4,2011-01-11T00:00:00Z,8,72,1,F-Si 2,Mountain - Cross Country Race - Aluminum,2060,Denver Bike Shop,"Denver, CO"
15,6,1,2011-01-11T00:00:00Z,16,45,1,SuperX 105,Road - Cyclocross - Carbon,1960,Phoenix Bi-peds,"Phoenix, AZ"
16,6,2,2011-01-11T00:00:00Z,16,39,1,Slice Hi-Mod Dura Ace D12,Road - Triathalon - Carbon,4500,Phoenix Bi-peds,"Phoenix, AZ"
17,6,3,2011-01-11T00:00:00Z,16,87,1,Habit 5,Mountain - Trail - Aluminum,2340,Phoenix Bi-peds,"Phoenix, AZ"
18,6,4,2011-01-11T00:00:00Z,16,31,1,Synapse Carbon 105,Road - Endurance Road - Carbon,2240,Phoenix Bi-peds,"Phoenix, AZ"
19,7,1,2011-01-12T00:00:00Z,9,2,1,Supersix Evo Hi-Mod Team,Road - Elite Road - Carbon,10660,Minneapolis Bike Shop,"Minneapolis, MN"
20,7,2,2011-01-12T00:00:00Z,9,15,1,CAAD12 Ultegra,Road - Elite Road - Aluminum,2240,Minneapolis Bike Shop,"Minneapolis, MN"
21,7,3,2011-01-12T00:00:00Z,9,10,1,Supersix Evo Tiagra,Road - Elite Road - Carbon,1840,Minneapolis Bike Shop,"Minneapolis, MN"
22,7,4,2011-01-12T00:00:00Z,9,65,1,Scalpel 29 4,Mountain - Cross Country Race - Aluminum,3200,Minneapolis Bike Shop,"Minneapolis, MN"
23,7,5,2011-01-12T00:00:00Z,9,87,1,Habit 5,Mountain - Trail - Aluminum,2340,Minneapolis Bike Shop,"Minneapolis, MN"
24,7,6,2011-01-12T00:00:00Z,9,55,1,Scalpel-Si Black Inc.,Mountain - Cross Country Race - Carbon,12790,Minneapolis Bike Shop,"Minneapolis, MN"
25,7,7,2011-01-12T00:00:00Z,9,7,1,Supersix Evo Ultegra 3,Road - Elite Road - Carbon,3200,Minneapolis Bike Shop,"Minneapolis, MN"
26,7,8,2011-01-12T00:00:00Z,9,67,1,F-Si Hi-Mod Team,Mountain - Cross Country Race - Carbon,9060,Minneapolis Bike Shop,"Minneapolis, MN"
27,7,9,2011-01-12T00:00:00Z,9,61,1,Scalpel-Si 5,Mountain - Cross Country Race - Aluminum,3200,Minneapolis Bike Shop,"Minneapolis, MN"
28,7,10,2011-01-12T00:00:00Z,9,18,2,CAAD8 105,Road - Elite Road - Aluminum,1410,Minneapolis Bike Shop,"Minneapolis, MN"
29,7,11,2011-01-12T00:00:00Z,9,96,1,Catalyst 3,Mountain - Sport - Aluminum,480,Minneapolis Bike Shop,"Minneapolis, MN"
30,7,12,2011-01-12T00:00:00Z,9,42,1,Slice 105,Road - Triathalon - Carbon,1950,Minneapolis Bike Shop,"Minneapolis, MN"
31,7,13,2011-01-12T00:00:00Z,9,56,1,Scalpel-Si Race,Mountain - Cross Country Race - Carbon,9060,Minneapolis Bike Shop,"Minneapolis, MN"
32,7,14,2011-01-12T00:00:00Z,9,93,2,Trail 5,Mountain - Sport - Aluminum,815,Minneapolis Bike Shop,"Minneapolis, MN"
33,8,1,2011-01-12T00:00:00Z,16,35,1,Synapse Disc Tiagra,Road - Endurance Road - Aluminum,1250,Phoenix Bi-peds,"Phoenix, AZ"
34,8,2,2011-01-12T00:00:00Z,16,96,3,Catalyst 3,Mountain - Sport - Aluminum,480,Phoenix Bi-peds,"Phoenix, AZ"
35,9,1,2011-01-17T00:00:00Z,25,29,1,Synapse Carbon Ultegra 4,Road - Endurance Road - Carbon,2660,New Orleans Velocipedes,"New Orleans, LA"
36,9,2,2011-01-17T00:00:00Z,25,13,2,CAAD12 Red,Road - Elite Road - Aluminum,3200,New Orleans Velocipedes,"New Orleans, LA"
37,9,3,2011-01-17T00:00:00Z,25,18,1,CAAD8 105,Road - Elite Road - Aluminum,1410,New Orleans Velocipedes,"New Orleans, LA"
38,9,4,2011-01-17T00:00:00Z,25,16,1,CAAD12 Disc 105,Road - Elite Road - Aluminum,1950,New Orleans Velocipedes,"New Orleans, LA"
39,9,5,2011-01-17T00:00:00Z,25,36,5,Synapse Sora,Road - Endurance Road - Aluminum,1030,New Orleans Velocipedes,"New Orleans, LA"
40,10,1,2011-01-17T00:00:00Z,20,19,1,CAAD8 Tiagra,Road - Elite Road - Aluminum,1250,Portland Bi-peds,"Portland, OR"
41,11,1,2011-01-18T00:00:00Z,19,11,1,CAAD12 Black Inc,Road - Elite Road - Aluminum,5860,San Francisco Cruisers,"San Francisco, CA"
42,11,2,2011-01-18T00:00:00Z,19,13,2,CAAD12 Red,Road - Elite Road - Aluminum,3200,San Francisco Cruisers,"San Francisco, CA"
43,11,3,2011-01-18T00:00:00Z,19,10,1,Supersix Evo Tiagra,Road - Elite Road - Carbon,1840,San Francisco Cruisers,"San Francisco, CA"
44,11,4,2011-01-18T00:00:00Z,19,39,1,Slice Hi-Mod Dura Ace D12,Road - Triathalon - Carbon,4500,San Francisco Cruisers,"San Francisco, CA"
45,11,5,2011-01-18T00:00:00Z,19,23,1,Synapse Hi-Mod Disc Red,Road - Endurance Road - Carbon,7460,San Francisco Cruisers,"San Francisco, CA"
46,11,6,2011-01-18T00:00:00Z,19,65,1,Scalpel 29 4,Mountain - Cross Country Race - Aluminum,3200,San Francisco Cruisers,"San Francisco, CA"
47,11,7,2011-01-18T00:00:00Z,19,43,1,SuperX Hi-Mod CX1,Road - Cyclocross - Carbon,3500,San Francisco Cruisers,"San Francisco, CA"
48,12,1,2011-01-20T00:00:00Z,6,27,2,Synapse Carbon Disc Ultegra,Road - Endurance Road - Carbon,3730,Louisville Race Equipment,"Louisville, KY"
49,12,2,2011-01-20T00:00:00Z,6,49,1,Jekyll Carbon 3,Mountain - Over Mountain - Carbon,3840,Louisville Race Equipment,"Louisville, KY"
50,12,3,2011-01-20T00:00:00Z,6,67,1,F-Si Hi-Mod Team,Mountain - Cross Country Race - Carbon,9060,Louisville Race Equipment,"Louisville, KY"
51,12,4,2011-01-20T00:00:00Z,6,11,1,CAAD12 Black Inc,Road - Elite Road - Aluminum,5860,Louisville Race Equipment,"Louisville, KY"
52,12,5,2011-01-20T00:00:00Z,6,26,1,Synapse Carbon Disc Ultegra D12,Road - Endurance Road - Carbon,4800,Louisville Race Equipment,"Louisville, KY"
53,12,6,2011-01-20T00:00:00Z,6,39,1,Slice Hi-Mod Dura Ace D12,Road - Triathalon - Carbon,4500,Louisville Race Equipment,"Louisville, KY"
54,12,7,2011-01-20T00:00:00Z,6,28,1,Synapse Carbon Ultegra 3,Road - Endurance Road - Carbon,3200,Louisville Race Equipment,"Louisville, KY"
55,12,8,2011-01-20T00:00:00Z,6,32,1,Syapse Carbon Tiagra,Road - Endurance Road - Carbon,1840,Louisville Race Equipment,"Louisville, KY"
56,12,9,2011-01-20T00:00:00Z,6,22,1,Synapse Hi-Mod Disc Black Inc.,Road - Endurance Road - Carbon,9590,Louisville Race Equipment,"Louisville, KY"
57,12,10,2011-01-20T00:00:00Z,6,13,1,CAAD12 Red,Road - Elite Road - Aluminum,3200,Louisville Race Equipment,"Louisville, KY"
58,12,11,2011-01-20T00:00:00Z,6,29,1,Synapse Carbon Ultegra 4,Road - Endurance Road - Carbon,2660,Louisville Race Equipment,"Louisville, KY"
59,12,12,2011-01-20T00:00:00Z,6,63,1,Scalpel 29 Carbon 2,Mountain - Cross Country Race - Carbon,5330,Louisville Race Equipment,"Louisville, KY"
60,12,13,2011-01-20T00:00:00Z,6,31,1,Synapse Carbon 105,Road - Endurance Road - Carbon,2240,Louisville Race Equipment,"Louisville, KY"
61,12,14,2011-01-20T00:00:00Z,6,15,1,CAAD12 Ultegra,Road - Elite Road - Aluminum,2240,Louisville Race Equipment,"Louisville, KY"
62,12,15,2011-01-20T00:00:00Z,6,40,1,Slice Ultegra D12,Road - Triathalon - Carbon,3200,Louisville Race Equipment,"Louisville, KY"
63,12,16,2011-01-20T00:00:00Z,6,10,3,Supersix Evo Tiagra,Road - Elite Road - Carbon,1840,Louisville Race Equipment,"Louisville, KY"
64,12,17,2011-01-20T00:00:00Z,6,37,1,Synapse Claris,Road - Endurance Road - Aluminum,870,Louisville Race Equipment,"Louisville, KY"
65,12,18,2011-01-20T00:00:00Z,6,8,1,Supersix Evo Ultegra 4,Road - Elite Road - Carbon,2660,Louisville Race Equipment,"Louisville, KY"
66,12,19,2011-01-20T00:00:00Z,6,57,1,Scalpel-Si Hi-Mod 1,Mountain - Cross Country Race - Carbon,7460,Louisville Race Equipment,"Louisville, KY"
67,13,1,2011-01-20T00:00:00Z,7,4,1,Supersix Evo Hi-Mod Dura Ace 2,Road - Elite Road - Carbon,5330,Nashville Cruisers,"Nashville, TN"
68,13,2,2011-01-20T00:00:00Z,7,18,1,CAAD8 105,Road - Elite Road - Aluminum,1410,Nashville Cruisers,"Nashville, TN"
69,14,1,2011-01-24T00:00:00Z,14,87,1,Habit 5,Mountain - Trail - Aluminum,2340,Albuquerque Cycles,"Albuquerque, NM"
70,14,2,2011-01-24T00:00:00Z,14,76,1,Beast of the East 1,Mountain - Trail - Aluminum,2770,Albuquerque Cycles,"Albuquerque, NM"
71,14,3,2011-01-24T00:00:00Z,14,69,1,F-Si Carbon 2,Mountain - Cross Country Race - Carbon,4800,Albuquerque Cycles,"Albuquerque, NM"
